Date,Well,Oil_Rate,Water_Rate,Gas_Rate
2018-04-01,A-01,39.8009310240927,9.247951370122088,22.26932233637889
2018-05-01,A-01,55.87127025183374,9.824930438435427,18.640906925788347
2018-06-01,A-01,54.01402811243917,13.07345856423039,19.701730265761444
2018-07-01,A-01,41.011324276226105,11.02369306767293,16.732644355773328
2018-08-01,A-01,47.38600047826274,11.155890486865292,22.942414951528363
2018-09-01,A-01,45.47024686531137,13.686154582354478,21.592235966370605
2018-10-01,A-01,48.16917578594574,10.267858427121613,21.086679183534976
2018-11-01,A-01,51.323159044982305,11.600031101680116,18.40367937503264
2018-12-01,A-01,43.03929065556604,13.133327711908041,20.922970757498813
2019-01-01,A-01,50.85112963709599,7.0488793583157525,18.334566087502946
2019-02-01,A-01,56.51922115157809,6.668455717044188,20.21823327554677
2019-03-01,A-01,40.682424368325336,10.935434406014279,20.87989262709579
2019-04-01,A-01,56.7976510436665,12.04106263588831,21.967936495816705
2019-05-01,A-01,61.9134941263682,11.808658267009402,18.43028526811425
2019-06-01,A-01,38.020884420269795,11.724402737499362,25.070326571407588
2019-07-01,A-01,49.535044662188305,11.43473116250162,21.018865219091822
2019-08-01,A-01,45.27231972393894,5.632644411195826,16.883975714610383
2019-09-01,A-01,42.67420311582874,8.1624624283347,20.04061692009078
2019-10-01,A-01,48.4454990316036,12.87955392926356,20.741263881619563
2019-11-01,A-01,51.010416162202105,11.955665762297086,16.15115759455483
2019-12-01,A-01,51.44064901064584,12.384461409031857,22.366289341279213
2020-01-01,A-01,50.35272350303143,11.212617918643085,20.425319392191437
2020-02-01,A-01,48.1211579071743,9.987186714431484,15.862466847361372
2020-03-01,A-01,47.24039790931024,13.19688919195841,16.12300664711142
2020-04-01,A-01,46.451834842439716,10.564598069165708,18.06843413202448
2020-05-01,A-01,47.23475492642882,11.651317706856446,20.55357867830705
2020-06-01,A-01,59.08738311286003,13.455340174340616,20.73903382583635
2020-07-01,A-01,51.42114591052618,13.660015979380935,21.3744421650601
2020-08-01,A-01,36.23168697617887,13.250442888226416,17.9467915224077
2020-09-01,A-01,39.85774406544476,12.596355707477409,19.499420197777468
2020-10-01,A-01,49.9740212289187,13.69214854341134,16.95450447956523
2020-11-01,A-01,38.22214506656052,9.543107941012881,24.01135194789912
2020-12-01,A-01,41.840690357649144,14.41190237894898,19.974059568022312
2021-01-01,A-01,42.17804583977778,13.918725456165582,19.397663753520746
2021-02-01,A-01,55.453209639892584,13.577332770602853,17.819171569467795
2021-03-01,A-01,42.998337881288364,9.423906662750065,18.674333703654625
2021-04-01,A-01,46.661366982616464,18.760120225233884,20.09795517445856
2021-05-01,A-01,48.48486302773757,15.342267933240466,17.637741793413806
2021-06-01,A-01,44.95175635926632,14.500981512791643,18.105157409760913
2021-07-01,A-01,38.5999019310879,14.368796408446133,21.425164744346993
2021-08-01,A-01,44.136806191175516,12.711618436039114,15.913895671267593
2021-09-01,A-01,41.99504052176027,10.258049959341923,15.134822640546005
2021-10-01,A-01,39.217797481766546,11.156608624752952,18.88078189865163
2021-11-01,A-01,43.87230203434847,13.466382946295226,20.310925415563986
2021-12-01,A-01,39.229467647794415,14.159028403501853,16.3750778718672
2022-01-01,A-01,39.825445252811065,11.71093772564776,14.618484430459729
2022-02-01,A-01,39.23964108615504,12.535861255285287,17.058360842588005
2022-03-01,A-01,35.83950178730533,15.645976003900879,15.871799972592184
2022-04-01,A-01,35.35659422175673,15.235348105601968,21.873466629322646
2022-05-01,A-01,54.03895954316018,11.864545150343762,16.802116952341017
2022-06-01,A-01,41.916205317586105,10.879525794429314,17.996208581565586
2022-07-01,A-01,41.01219112102139,11.991998425373549,15.894643097018754
2022-08-01,A-01,39.85750049243174,13.78667202842697,18.234108681126585
2022-09-01,A-01,31.397274713657055,13.543025045276814,18.048669401826995
2022-10-01,A-01,48.70386269695333,16.305822682270257,17.333067630380317
2022-11-01,A-01,40.37138228265025,13.576761902267386,21.268805170604647
2022-12-01,A-01,40.74125806811457,15.71156340573453,16.36760986481163
2023-01-01,A-01,31.02696789463274,14.375834044098553,16.920642392347723
2023-02-01,A-01,39.130127636660646,17.894480313331858,15.93458034824649
2023-03-01,A-01,46.39059232121904,14.277238726014428,20.468498163704663
2023-04-01,A-01,32.660864158457834,16.0818142250497,16.114461288521518
2023-05-01,A-01,38.78503671440908,14.149229436810216,20.57333971429237
2023-06-01,A-01,39.66936844063124,14.837371207960999,19.154788996064216
2023-07-01,A-01,39.27550066413929,14.345712206725327,16.056568301253204
2023-08-01,A-01,32.46172598314734,14.872308281293257,17.106807486914025
